iter	Passed	Remaining
608	4648	2984
609	4653	2975
610	4660	2967
611	4665	2958
612	4670	2948
613	4677	2940
614	4682	2931
615	4687	2922
616	4694	2913
617	4698	2904
618	4711	2899
619	4716	2890
620	4730	2886
621	4741	2881
622	4746	2872
623	4750	2862
624	4758	2855
625	4763	2846
626	4771	2838
627	4776	2829
628	4780	2819
629	4787	2811
630	4793	2802
631	4797	2793
632	4805	2786
633	4811	2777
634	4819	2770
635	4825	2761
636	4831	2753
637	4839	2745
638	4844	2736
639	4851	2729
640	4856	2719
641	4860	2710
642	4869	2703
643	4874	2694
644	4878	2685
645	4886	2677
646	4891	2668
647	4895	2659
648	4903	2651
649	4908	2642
650	4915	2635
651	4921	2626
652	4924	2616
653	4932	2609
654	4937	2600
655	4942	2591
656	4950	2584
657	4955	2575
658	4959	2566
659	4964	2557
660	4969	2548
661	4977	2541
662	4982	2532
663	4987	2523
664	4994	2516
665	4999	2507
666	5004	2498
667	5012	2491
668	5018	2482
669	5026	2475
670	5031	2466
671	5035	2457
672	5044	2450
673	5048	2441
674	5053	2433
675	5060	2425
676	5064	2416
677	5073	2409
678	5077	2400
679	5082	2391
680	5090	2384
681	5094	2375
682	5101	2367
683	5107	2359
684	5113	2351
685	5121	2344
686	5126	2335
687	5133	2327
688	5137	2319
689	5142	2310
690	5149	2302
691	5154	2294
692	5159	2285
693	5166	2277
694	5170	2269
695	5175	2260
696	5182	2253
697	5187	2244
698	5192	2235
699	5205	2230
700	5216	2224
701	5220	2216
702	5225	2207
703	5232	2200
704	5237	2191
705	5242	2182
706	5247	2174
707	5251	2165
708	5260	2159
709	5265	2150
710	5269	2141
711	5277	2134
712	5281	2126
713	5286	2117
714	5293	2110
715	5298	2101
716	5303	2093
717	5312	2086
718	5318	2078
719	5326	2071
720	5330	2062
721	5335	2054
722	5345	2047
723	5349	2039
724	5357	2032
725	5361	2023
726	5366	2015
727	5374	2007
728	5377	1998
729	5381	1990
730	5389	1983
731	5394	1974
732	5398	1966
733	5407	1959
734	5413	1951
735	5421	1944
736	5426	1936
737	5429	1927
738	5437	1920
739	5441	1911
740	5446	1903
741	5454	1896
742	5459	1888
743	5465	1880
744	5470	1872
745	5477	1865
746	5485	1857
747	5490	1849
748	5495	1841
749	5501	1833
750	5507	1826
751	5515	1819
752	5520	1810
753	5527	1803
754	5532	1795
755	5536	1786
756	5544	1779
757	5549	1771
758	5553	1763
759	5561	1756
760	5567	1748
761	5571	1740
762	5579	1733
763	5583	1724
764	5588	1716
765	5595	1709
766	5600	1701
767	5607	1693
768	5613	1686
769	5619	1678
770	5627	1671
771	5631	1663
772	5638	1655
773	5644	1648
774	5649	1640
775	5658	1633
776	5663	1625
777	5666	1617
778	5674	1609
779	5679	1601
780	5686	1594
781	5691	1586
782	5697	1579
783	5708	1572
784	5710	1564
785	5721	1557
786	5727	1550
787	5734	1542
788	5739	1535
789	5744	1527
790	5751	1519
791	5756	1511
792	5760	1503
793	5771	1497
794	5777	1489
795	5784	1482
796	5789	1474
797	5794	1466
798	5802	1459
799	5807	1451
800	5811	1443
801	5818	1436
802	5824	1428
803	5832	1421
804	5836	1413
805	5847	1407
806	5852	1399
807	5856	1391
808	5866	1384
809	5872	1377
810	5881	1370
811	5887	1363
812	5894	1355
813	5899	1348
814	5904	1340
815	5913	1333
816	5919	1325
817	5927	1318
818	5932	1311
819	5937	1303
820	5944	1296
821	5948	1288
822	5956	1280
823	5961	1273
824	5965	1265
825	5973	1258
826	5978	1250
827	5983	1243
828	5991	1235
829	5996	1228
830	6003	1220
831	6009	1213
832	6015	1206
833	6020	1198
834	6025	1190
835	6033	1183
836	6038	1175
837	6043	1168
838	6050	1161
839	6055	1153
840	6059	1145
841	6067	1138
842	6072	1130
843	6076	1123
844	6082	1115
845	6086	1108
846	6094	1100
847	6098	1093
848	6102	1085
849	6111	1078
850	6116	1070
851	6121	1063
852	6128	1056
853	6133	1048
854	6141	1041
855	6145	1033
856	6150	1026
857	6157	1019
858	6162	1011
859	6167	1003
860	6174	996
861	6183	989
862	6190	982
863	6196	975
864	6206	968
865	6211	961
866	6216	953
867	6224	946
868	6229	939
869	6237	932
870	6242	924
871	6247	917
872	6256	910
873	6261	902
874	6268	895
875	6273	888
876	6278	880
877	6286	873
878	6291	866
879	6296	858
880	6305	851
881	6312	844
882	6321	837
883	6326	830
884	6334	823
885	6338	815
886	6343	808
887	6352	801
888	6356	793
889	6364	786
890	6369	779
891	6374	771
892	6381	764
893	6386	757
894	6392	750
895	6401	743
896	6408	735
897	6416	728
898	6420	721
899	6425	713
900	6433	706
901	6438	699
902	6445	692
903	6451	685
904	6455	677
905	6463	670
906	6468	663
907	6473	655
908	6481	648
909	6485	641
910	6493	634
911	6499	627
912	6511	620
913	6516	613
914	6524	606
915	6529	598
916	6533	591
917	6544	584
918	6549	577
919	6556	570
920	6561	562
921	6566	555
922	6573	548
923	6578	541
924	6583	533
925	6592	526
926	6597	519
927	6604	512
928	6610	505
929	6616	498
930	6624	490
931	6629	483
932	6636	476
933	6641	469
934	6646	462
935	6655	455
936	6659	447
937	6664	440
938	6673	433
939	6684	426
940	6691	419
941	6695	412
942	6705	405
943	6711	398
944	6721	391
945	6726	383
946	6735	376
947	6739	369
948	6744	362
949	6750	355
950	6754	348
951	6762	340
952	6767	333
953	6771	326
954	6777	319
955	6782	312
956	6787	304
957	6795	297
958	6800	290
959	6811	283
960	6817	276
961	6821	269
962	6830	262
963	6834	255
964	6842	248
965	6847	241
966	6852	233
967	6860	226
968	6865	219
969	6872	212
970	6878	205
971	6883	198
972	6892	191
973	6897	184
974	6904	177
975	6910	169
976	6917	162
977	6923	155
978	6928	148
979	6936	141
980	6941	134
981	6946	127
982	6958	120
983	6962	113
984	6971	106
985	6975	99
986	6979	91
987	6985	84
988	6990	77
989	6999	70
990	7005	63
991	7014	56
992	7019	49
993	7024	42
994	7033	35
995	7038	28
996	7046	21
997	7051	14
998	7056	7
999	7065	0
